ticker,month,first_close,last_close,monthly_return_%
BRITANNIA,2023-10,4495.45,4426.5,-1.53
BRITANNIA,2023-11,4397.3,4852.65,10.36
BRITANNIA,2023-12,4970.75,5338.45,7.4
BRITANNIA,2024-01,5319.8,5198.4,-2.28
BRITANNIA,2024-02,5148.6,4965.2,-3.56
BRITANNIA,2024-03,4927.7,4911.25,-0.33
BRITANNIA,2024-04,4895.2,4775.95,-2.44
BRITANNIA,2024-05,4759.65,5179.8,8.83
BRITANNIA,2024-06,5167.8,5475.55,5.96
BRITANNIA,2024-07,5476.5,5784.45,5.62
BRITANNIA,2024-08,5730.15,5855.25,2.18
BRITANNIA,2024-09,5922.15,6338.15,7.02
BRITANNIA,2024-10,6446.05,5726.9,-11.16
BRITANNIA,2024-11,5693.05,4848.35,-14.84
CIPLA,2023-10,1182.8,1200.0,1.45
CIPLA,2023-11,1201.25,1212.3,0.92
CIPLA,2023-12,1205.7,1246.3,3.37
CIPLA,2024-01,1251.0,1351.0,7.99
CIPLA,2024-02,1387.65,1480.35,6.68
CIPLA,2024-03,1470.9,1496.95,1.77
CIPLA,2024-04,1498.65,1400.0,-6.58
CIPLA,2024-05,1420.05,1447.2,1.91
CIPLA,2024-06,1452.35,1480.8,1.96
CIPLA,2024-07,1479.1,1544.3,4.41
CIPLA,2024-08,1546.2,1654.9,7.03
CIPLA,2024-09,1646.65,1654.1,0.45
CIPLA,2024-10,1664.85,1551.75,-6.79
CIPLA,2024-11,1559.55,1486.5,-4.68
COALINDIA,2023-10,291.9,314.25,7.66
COALINDIA,2023-11,306.65,342.15,11.58
COALINDIA,2023-12,346.65,376.0,8.47
COALINDIA,2024-01,381.8,406.15,6.38
COALINDIA,2024-02,406.7,436.7,7.38
COALINDIA,2024-03,446.35,434.1,-2.74
COALINDIA,2024-04,442.05,454.3,2.77
COALINDIA,2024-05,453.9,491.2,8.22
COALINDIA,2024-06,512.35,473.15,-7.65
COALINDIA,2024-07,474.8,522.2,9.98
COALINDIA,2024-08,540.4,524.95,-2.86
COALINDIA,2024-09,520.85,510.15,-2.05
COALINDIA,2024-10,508.5,452.05,-11.1
COALINDIA,2024-11,454.15,414.05,-8.83
DRREDDY,2023-10,1092.34,1073.51,-1.72
DRREDDY,2023-11,1069.29,1157.63,8.26
DRREDDY,2023-12,1149.88,1159.58,0.84
DRREDDY,2024-01,1164.33,1224.23,5.14
DRREDDY,2024-02,1198.63,1284.85,7.19
DRREDDY,2024-03,1238.71,1231.58,-0.58
DRREDDY,2024-04,1250.07,1240.86,-0.74
DRREDDY,2024-05,1257.5,1158.37,-7.88
DRREDDY,2024-06,1156.66,1280.47,10.7
DRREDDY,2024-07,1270.74,1350.1,6.25
DRREDDY,2024-08,1377.59,1406.27,2.08
DRREDDY,2024-09,1374.43,1350.32,-1.75
DRREDDY,2024-10,1349.82,1274.2,-5.6
DRREDDY,2024-11,1259.6,1214.45,-3.58
EICHERMOT,2023-10,3351.4,3295.55,-1.67
EICHERMOT,2023-11,3282.25,3896.9,18.73
EICHERMOT,2023-12,3891.2,4143.5,6.48
EICHERMOT,2024-01,4038.35,3839.6,-4.92
EICHERMOT,2024-02,3933.2,3792.4,-3.58
EICHERMOT,2024-03,3843.55,4019.3,4.57
EICHERMOT,2024-04,3946.65,4597.4,16.49
EICHERMOT,2024-05,4602.4,4733.45,2.85
EICHERMOT,2024-06,4670.85,4672.95,0.04
EICHERMOT,2024-07,4635.55,4962.7,7.06
EICHERMOT,2024-08,4968.8,4960.5,-0.17
EICHERMOT,2024-09,4911.95,5026.25,2.33
EICHERMOT,2024-10,4972.65,4894.65,-1.57
EICHERMOT,2024-11,4953.6,4986.2,0.66
GRASIM,2023-10,1913.84,1879.23,-1.81
GRASIM,2023-11,1861.15,1997.51,7.33
GRASIM,2023-12,2008.07,2126.35,5.89
GRASIM,2024-01,2118.88,2175.0,2.65
GRASIM,2024-02,2128.6,2191.4,2.95
GRASIM,2024-03,2254.9,2287.3,1.44
GRASIM,2024-04,2292.55,2411.65,5.2
GRASIM,2024-05,2437.35,2316.25,-4.97
GRASIM,2024-06,2368.8,2670.45,12.73
GRASIM,2024-07,2726.4,2776.75,1.85
GRASIM,2024-08,2767.0,2698.85,-2.46
GRASIM,2024-09,2690.8,2795.55,3.89
GRASIM,2024-10,2801.15,2695.85,-3.76
GRASIM,2024-11,2698.9,2598.65,-3.71
HCLTECH,2023-10,1238.7,1276.0,3.01
HCLTECH,2023-11,1258.95,1340.9,6.51
HCLTECH,2023-12,1336.7,1466.1,9.68
HCLTECH,2024-01,1483.75,1576.0,6.22
HCLTECH,2024-02,1577.4,1663.85,5.48
HCLTECH,2024-03,1644.1,1543.55,-6.12
HCLTECH,2024-04,1556.7,1366.6,-12.21
